1,ειρηκεν,τελος,περισπαστεον,στιχου,perspershZeus,εμφαινει,εξης,δευτερον,στιχος,προτερον
2,perspersafAristarchus,αλλοι,ομοιως,of,εχει,Ascalon,perspersdhePtolemy,ληγοντα,τελους,οξειαν
3,πτωσις,οιδεν,ηλλακται,αυτω,λεγει,εχειν,πως,perspersagHomer,πληθυντικως,γενικης
4,perspersaeZenodotus,γραφει,perspersbaAristophanes,χωρις,λεγει,διπλη,perspersagHomer,ονομα,σημειουνται,προειρηται
5,λεγει,perspersagbHector,αθετουνται,perspersaAchilles,εως,στιχοι,perspersaahOdysseus,perspersaehPatroclus,τρωων,perspersbbAgamemnon
6,διχως,τοπος,αρθρον,παντα,δυναται,εθος,αθετειται,αυτω,ανω,θαλασσαν
7,γραφεται,perspersaferror,ενθαδε,τισι,λογου,προθεσιν,αναφορα,εξω,αναστρεπτεον,λεγει
8,συνδεσμος,περισσος,perspershZeus,ειρηται,δηλονοτι,perspersaAchilles,γης,ποιητης,αμφιβολον,λεγει
9,λεγει,δασυντεον,αλλ,δει,ιδιως,ορος,γενικη,perspersagHomer,λογον,αρισταρχος
10,ελλειπει,απαξ,αυτω,perspersdicAelius,Herodianus,ημεις,οιον,ομοιον,ευθειας,perspershZeus
11,εξης,διασταλτεον,βραχυ,στικτεον,βελτιον,λογος,δυναται,αρχης,συναπτεον,λειπει
