1,χωρις,perspershZeus,εξης,διχα,perspersagbHector,νικης,θελει,αλλαχου,τρωσιν,συμφωνον,προτερον,ελληνας
2,perspersafAristarchus,perspersdicAeliusHerodianus,απειλουντι,γραφει,ολυμπω,μεγεθος,δηλοι,αυτουργειν,perspersbbAgamemnon,φιλαδελφιαν,πληρες,perspersagHomer
3,δηλοι,perspershZeus,αρχεται,εξης,καλως,θεους,οικειον,ελληνων,λειπει,τρωων,πραγματος,κυριον
4,perspershZeus,perspersdHesiod,δεικνυσι,γυναικες,ταρταρον,λεγεται,αερα,κυνα,perspersabcOceanus,φυσιν,φαινομενων,τοιαυται
5,αλλως,ορμην,δεικνυς,γεγονε,ετερου,εξης,δηλοι,βεβληται,perspershZeus,ωμος,ωμον,φαμεν
6,γραφεται,perspershZeus,εξης,λογος,ελληνας,φωτος,σφαιροειδης,πασα,ουσα,ηθικως,perspersaAchilles,φαντασιαν
7,perspershZeus,λεγει,πιθανως,perspersaafHera,εκει,perspersdgPoseidon,αλλαχου,perspersagbHector,χωραν,αλλως,αθετουνται,τρωων
8,perspersbaeDiomedes,ποιητης,τειχους,ιππων,ανω,στρατηγικως,λεγει,καλως,νεων,perspersagbHector,μεταξυ,φυγη
9,δηλοι,perspershZeus,ημας,δειλος,perspersgaHeracles,παντως,perspersbaeDiomedes,θεων,διασταλτεον,βραχυ,φιλοτιμον,λεγουσα
10,ελληνων,perspershZeus,μαχης,ητταν,ηθικως,perspersagbHector,μαχην,προβαλλεται,μοιριδιον,οπλιζει,νικην,καθολου
11,perspershZeus,perspersagbHector,φευγοντων,βουλεται,λογοις,αλλως,εκινησεν,λογον,πολεμει,διαστολη,πραγματα,ιππον
12,perspersaeZenodotus,perspersbaAristophanes,perspershZeus,θεοις,perspersagbHector,γραφει,ολυμπου,ηλιου,μεταφορα,εναντιουσθαι,αυταις,perspersbhbIris
