1,γραφεται,ελλειπει,perspersafAristarchus,γης,αδου,perspersagbHector,perspersaeZenodotus,ολυμπω,ψυχρος,ψυχαις,ψυχαι,χωρις,φρενας,φονον,φαινομενων
2,πληρες,οσον,εχρωντο,ενος,τοσουτον,τειχους,ταφρος,συνδεσμου,σημαινει,ποτε,παντα,νηων,ναυς,μορον,μεταξυ
3,perspersaeZenodotus,perspersbaAristophanes,perspershZeus,perspersfgAthena,perspersagHomer,ενθαδε,παντων,τρωων,τουτους,τελος,πυρος,πεντηκοντα,πεντε,εξης,εμοι
4,σημαινει,λεγει,ιππων,perspersdHesiod,στιχος,μελλοντα,εναντιον,γουν,perspersaeZenodotus,ψευδος,χρονου,χανουσα,χαλεπω,φωτος,φωτιζεται
5,διασταλτεον,βραχυ,χωρις,σαφως,λεγει,προτερον,ονομα,λεγομενον,θαλασσα,δυικα,δευτερον,perspersagHomer,γινεται,perspersagbHector,perspersafAristarchus
6,θεων,perspershZeus,perspersafAristarchus,perspersabcOceanus,φρασις,τοιαυτα,προφερεται,πληθυντικον,λογου,λεγεται,λεγει,γραφει,perspersihPtolemy,ωκοδομηθη,χρη
7,perspersaeZenodotus,ημεις,γραφει,εξης,⁚,τοπω,στικτεον,σημειουνται,προσωπον,πεποιηκε,ουδετερον,ιλιον,ημας,ειπων,γραφουσι
8,perspersafAristarchus,λειπει,καθολου,ποτερον,αλλοι,ακουσας,εχει,λεγει,φωνης,φευγων,ορους,οπερ,θορυβον,επεισθη,εξηγειται
9,perspersaeZenodotus,perspersafAristarchus,διχως,τρια,ταφρου,τασσει,πρωτους,ποιητη,οιον,νεκρων,καθαρος,ισως,εξης,εγραφεν,εγκλιτικη
10,ολυμπον,επιθετον,τοτε,στιχον,ουρανου,ουδεποτε,ορος,λεγουσι,θεων,ειρηται,ολυμπω,ωμος,ωμον,χρηται,χειρα
11,αθετουνται,στιχοι,perspershZeus,⁚,κοινον,μετακεινται,λεγει,καλως,εντευθεν,τρεις,στρατευματος,παρειληπται,μερος,λογος,ημιστιχιον
12,εξης,σημαινει,πολλα,perspershZeus,εχει,γραφεται,ποτε,παραπλησια,λογος,λειπει,κακως,ημερας,ημερα,εμφασιν,εμφαινει
